start_offset_ms,ttft_ms,latency_ms,generated_tokens,finish_reason,status,error
0.0,29.7,1367.4,128,length,200,
0.0,35.5,1378.5,128,length,200,
0.0,35.5,1378.5,128,length,200,
0.0,124.7,1485.8,128,length,200,
0.5,35.0,1378.0,128,length,200,
0.5,100.1,1458.0,128,length,200,
0.5,109.3,1468.5,128,length,200,
0.5,109.7,1468.5,128,length,200,
0.5,109.3,1469.5,128,length,200,
0.5,109.7,1469.5,128,length,200,
0.5,109.3,1469.5,128,length,200,
0.5,124.2,1484.2,128,length,200,
0.5,124.2,1484.7,128,length,200,
0.5,124.2,1484.7,128,length,200,
0.5,124.2,1484.7,128,length,200,
0.5,136.0,1502.0,128,length,200,
0.5,136.0,1502.0,128,length,200,
0.5,136.0,1502.5,128,length,200,
0.5,136.0,1502.5,128,length,200,
0.5,136.0,1503.0,128,length,200,
0.5,148.0,1519.9,128,length,200,
0.5,148.4,1520.9,128,length,200,
0.5,148.0,1520.9,128,length,200,
0.5,148.0,1519.9,128,length,200,
0.5,148.4,1521.5,128,length,200,
0.5,148.4,1521.5,128,length,200,
0.5,148.4,1521.5,128,length,200,
0.5,148.4,1521.5,128,length,200,
0.5,148.4,1521.5,128,length,200,
0.5,159.5,1538.2,128,length,200,
0.5,159.5,1538.2,128,length,200,
0.5,161.0,1538.7,128,length,200,
0.5,159.5,1539.3,128,length,200,
0.5,161.0,1540.0,128,length,200,
0.5,173.5,1558.1,128,length,200,
0.5,174.0,1558.1,128,length,200,
0.5,174.0,1558.1,128,length,200,
0.5,174.0,1558.1,128,length,200,
0.5,174.0,1558.1,128,length,200,
0.5,174.0,1558.8,128,length,200,
0.5,174.0,1558.8,128,length,200,
0.5,190.0,1576.8,128,length,200,
0.5,190.0,1577.8,128,length,200,
0.5,190.0,1577.8,128,length,200,
0.5,190.0,1577.8,128,length,200,
0.5,190.0,1577.8,128,length,200,
0.5,190.5,1577.8,128,length,200,
0.5,190.5,1578.4,128,length,200,
0.5,190.5,1578.4,128,length,200,
0.5,190.5,1579.0,128,length,200,
0.5,208.6,1592.8,128,length,200,
0.5,208.6,1592.8,128,length,200,
0.5,208.1,1592.8,128,length,200,
0.5,208.6,1592.8,128,length,200,
0.5,208.6,1592.8,128,length,200,
0.5,208.6,1593.5,128,length,200,
0.5,208.6,1592.8,128,length,200,
0.5,208.6,1593.5,128,length,200,
0.5,208.6,1593.5,128,length,200,
0.5,208.6,1593.5,128,length,200,
0.5,208.6,1593.5,128,length,200,
0.5,208.6,1593.5,128,length,200,
1.6,134.9,1500.9,128,length,200,
1.6,189.4,1576.7,128,length,200,
1367.4,44.9,1426.7,128,length,200,
1378.5,47.3,1426.7,128,length,200,
1378.5,47.8,1427.4,128,length,200,
1378.5,47.8,1427.9,128,length,200,
1458.5,44.5,1430.6,128,length,200,
1469.0,51.5,1429.1,128,length,200,
1469.0,51.5,1429.7,128,length,200,
1470.0,69.2,1444.3,128,length,200,
1470.0,69.2,1444.8,128,length,200,
1470.0,68.7,1444.8,128,length,200,
1484.7,54.5,1430.0,128,length,200,
1485.2,53.5,1428.5,128,length,200,
1485.2,54.0,1429.5,128,length,200,
1485.2,54.5,1429.5,128,length,200,
1485.8,54.0,1429.0,128,length,200,
1502.5,55.6,1429.9,128,length,200,
1502.5,56.1,1429.9,128,length,200,
1503.0,55.6,1429.4,128,length,200,
1503.0,55.6,1430.1,128,length,200,
1503.0,55.6,1431.2,128,length,200,
1503.5,55.8,1430.7,128,length,200,
1520.4,57.9,1428.3,128,length,200,
1521.4,56.9,1427.3,128,length,200,
1521.4,56.9,1427.3,128,length,200,
1521.4,72.6,1444.8,128,length,200,
1522.0,72.1,1442.9,128,length,200,
1522.0,71.3,1442.9,128,length,200,
1522.0,71.3,1442.9,128,length,200,
1522.0,71.3,1444.3,128,length,200,
1522.0,72.1,1444.3,128,length,200,
1538.7,55.3,1427.5,128,length,200,
1539.2,54.8,1427.0,128,length,200,
1539.2,53.5,1425.6,128,length,200,
1539.8,54.2,1426.5,128,length,200,
1540.5,53.6,1425.1,128,length,200,
1558.6,46.5,1424.0,128,length,200,
1558.6,46.5,1424.0,128,length,200,
1558.6,46.5,1424.5,128,length,200,
1558.6,47.0,1424.5,128,length,200,
1558.6,47.0,1424.5,128,length,200,
1559.3,45.9,1423.3,128,length,200,
1559.3,45.9,1423.9,128,length,200,
1577.3,65.8,1458.8,128,length,200,
1578.3,80.7,1481.3,128,length,200,
1578.3,80.7,1482.0,128,length,200,
1578.3,81.2,1483.2,128,length,200,
1578.3,80.7,1482.7,128,length,200,
1578.3,80.7,1482.0,128,length,200,
1578.3,81.2,1482.0,128,length,200,
1578.9,80.1,1480.7,128,length,200,
1578.9,79.6,1480.7,128,length,200,
1579.5,79.6,1482.1,128,length,200,
1593.3,65.7,1467.0,128,length,200,
1593.3,65.2,1466.3,128,length,200,
1593.3,65.2,1467.0,128,length,200,
1593.3,65.7,1468.3,128,length,200,
1593.3,65.7,1467.0,128,length,200,
1594.0,64.5,1466.3,128,length,200,
1594.0,65.0,1466.3,128,length,200,
1594.0,64.5,1465.6,128,length,200,
1594.0,65.0,1466.3,128,length,200,
1594.0,64.5,1467.0,128,length,200,
1594.0,64.5,1465.6,128,length,200,
1594.0,64.5,1465.6,128,length,200,
2794.1,46.4,1477.6,128,length,200,
2805.3,49.8,1477.0,128,length,200,
2805.9,49.6,1477.2,128,length,200,
2806.5,49.1,1476.3,128,length,200,
2889.1,43.3,1481.5,128,length,200,
2898.1,50.1,1482.1,128,length,200,
2898.7,49.5,1481.5,128,length,200,
2913.8,51.8,1482.2,128,length,200,
2914.3,52.0,1482.4,128,length,200,
2914.8,50.8,1481.2,128,length,200,
2914.8,50.8,1481.2,128,length,200,
2914.8,50.8,1481.2,128,length,200,
2914.8,51.5,1481.9,128,length,200,
2914.8,50.8,1481.9,128,length,200,
2914.8,50.8,1481.9,128,length,200,
2932.4,50.2,1482.5,128,length,200,
2932.4,50.2,1483.0,128,length,200,
2932.4,50.7,1483.0,128,length,200,
2933.1,49.5,1481.8,128,length,200,
2934.2,49.0,1481.2,128,length,200,
2934.2,49.0,1481.8,128,length,200,
2948.8,49.8,1485.6,128,length,200,
2948.8,49.8,1485.6,128,length,200,
2948.8,50.3,1486.1,128,length,200,
2964.8,57.9,1486.8,128,length,200,
2964.8,57.9,1486.8,128,length,200,
2964.8,57.9,1486.8,128,length,200,
2964.8,58.4,1488.0,128,length,200,
2965.6,57.6,1487.2,128,length,200,
2966.3,69.8,1509.2,128,length,200,
2966.3,69.8,1509.2,128,length,200,
2966.3,69.8,1509.2,128,length,200,
2966.3,69.8,1509.2,128,length,200,
2966.3,69.8,1509.2,128,length,200,
2966.3,69.8,1509.2,128,length,200,
2982.6,53.5,1492.8,128,length,200,
2982.6,53.5,1491.4,128,length,200,
2982.6,53.5,1492.8,128,length,200,
2983.2,53.0,1492.3,128,length,200,
2983.2,53.0,1492.3,128,length,200,
2983.2,77.2,1511.5,128,length,200,
2983.7,75.9,1511.0,128,length,200,
3036.1,56.4,1499.7,128,length,200,
3059.6,64.8,1510.6,128,length,200,
3059.6,64.8,1512.1,128,length,200,
3059.6,64.8,1512.1,128,length,200,
3059.6,64.8,1512.1,128,length,200,
3059.6,64.8,1510.6,128,length,200,
3059.6,65.6,1512.1,128,length,200,
3059.6,65.6,1512.1,128,length,200,
3060.3,64.9,1511.4,128,length,200,
3060.3,64.9,1511.4,128,length,200,
3060.3,81.9,1525.2,128,length,200,
3060.3,81.4,1523.6,128,length,200,
3060.3,81.4,1524.2,128,length,200,
3060.3,81.4,1524.7,128,length,200,
3060.3,81.9,1525.2,128,length,200,
3060.3,81.4,1524.7,128,length,200,
3060.3,81.9,1525.2,128,length,200,
3061.6,80.7,1523.9,128,length,200,
3061.6,80.7,1523.9,128,length,200,
3061.6,80.7,1523.4,128,length,200,
3061.6,80.7,1523.4,128,length,200,
3061.6,80.2,1522.4,128,length,200,
4271.7,48.9,1500.1,128,length,200,
4282.3,53.2,1499.8,128,length,200,
4282.8,52.7,1499.3,128,length,200,
4283.1,51.8,1498.4,128,length,200,
4370.6,44.3,1472.0,128,length,200,
4380.2,54.2,1473.0,128,length,200,
4380.2,54.2,1473.0,128,length,200,
4395.9,55.7,1467.1,128,length,200,
4395.9,55.7,1467.1,128,length,200,
4395.9,79.5,1478.3,128,length,200,
4395.9,79.5,1478.3,128,length,200,
4396.7,78.8,1477.6,128,length,200,
4396.7,78.3,1477.6,128,length,200,
4396.7,78.8,1477.6,128,length,200,
4396.7,78.3,1477.6,128,length,200,
4414.9,60.6,1459.4,128,length,200,
4414.9,59.7,1459.4,128,length,200,
4415.4,58.7,1458.9,128,length,200,
4415.4,60.1,1458.9,128,length,200,
4415.4,60.1,1458.9,128,length,200,
4415.9,59.0,1458.3,128,length,200,
4434.4,60.3,1449.3,128,length,200,
4434.9,59.8,1448.8,128,length,200,
4434.9,60.3,1448.8,128,length,200,
4451.7,62.2,1441.8,128,length,200,
4451.7,62.2,1441.8,128,length,200,
4451.7,62.9,1441.8,128,length,200,
4452.8,61.0,1440.6,128,length,200,
4452.8,61.7,1440.6,128,length,200,
4474.1,78.1,1437.6,128,length,200,
