utilization.gpu [%], clocks.current.sm [MHz], clocks.max.sm [MHz], temperature.gpu
0 %, 210 MHz, 3105 MHz, 52
0 %, 210 MHz, 3105 MHz, 52
19 %, 435 MHz, 3105 MHz, 52
0 %, 435 MHz, 3105 MHz, 52
94 %, 2370 MHz, 3105 MHz, 52
50 %, 2580 MHz, 3105 MHz, 56
86 %, 2580 MHz, 3105 MHz, 60
88 %, 2580 MHz, 3105 MHz, 61
85 %, 2580 MHz, 3105 MHz, 61
89 %, 2580 MHz, 3105 MHz, 61
86 %, 2580 MHz, 3105 MHz, 61
86 %, 2580 MHz, 3105 MHz, 62
85 %, 2580 MHz, 3105 MHz, 62
0 %, 2580 MHz, 3105 MHz, 58
7 %, 2580 MHz, 3105 MHz, 57
2 %, 705 MHz, 3105 MHz, 56
8 %, 465 MHz, 3105 MHz, 55
0 %, 315 MHz, 3105 MHz, 55
